"","college","gpa","label","SC","lon","lat"
"1","University of Northern Iowa",2.96,"","IA",-92.4635157,42.5136981
"2","Auburn University",2.75,"","AL",-85.4951663,32.5933574
"3","University of Alabama",2.9,"","AL",-87.5391418,33.2140233
"4","Northern Arizona University",3.04,"","AR",-111.6527599,35.1898983
"5","Community  College of Philadelphia",2.47,"","PA",-75.1664996,39.961603
"6","Santa Barbara Community College",2.59,"","CA",-119.7202494,34.4282948
"7","Los Angeles Mission College",2.65,"","CA",-118.419485,34.3153455
"8","California Community Colleges",2.7,"CA Com. Colleges(2.7)","CA",-122.0446833,37.3192171
"9","San Jose State University",2.79,"","CA",-121.8810715,37.3351874
"10","California State University - Fresno",2.84,"","CA",-119.7496487,36.8117049
"11","Los Angeles Mission College",2.65,"","CA",-118.419485,34.3153455
"12","California State University - San Bernardino",2.93,"","CA",-117.324134,34.180688
"13","University of California - Irvine",2.98,"","CA",-117.8442962,33.6404952
"14","University of California - Berkeley",3.27,"","CA",-122.2585399,37.8718992
"15","Harvey-Mudd College",3.4,"","CA",-117.7093147,34.106067
"16","Pomona College",3.49,"","CA",-117.7094496,34.097718
"17","University of California - San Diego",3.01,"","CA",-117.2340135,32.8800604
"18","University of California - Santa Barbara",3.02,"","CA",-119.848947,34.4139629
"19","University of California - Los Angeles",3.19,"UCLA (3.2)","CA",-118.4451812,34.068921
"20","Colorado State",2.82,"","CO",-105.7820674,39.5500507
"21","University of Colorado",2.92,"Univ. of Colorado(2.92)","CO",-105.2659417,40.007581
"22","Southern Connecticut State University",2.96,"","CT",-72.9445802,41.3322928
"23","Yale University",3.48,"","CT",-72.9223431,41.3163244
"24","University of Delaware",2.99,"","DE",-75.4541363,38.6343945
"25","Florida International University",2.72,"","FL",-80.376174,25.7581198
"26","Florida Atlantic University",2.79,"","FL",-80.1043462,26.3740169
"27","University of South Florida",2.93,"","FL",-82.4138539,28.0587031
"28","Florida Gulf Coast University",2.95,"","FL",-81.7736279,26.4640491
"29","University of Central Florida",2.97,"","FL",-81.2000599,28.6024276
"30","Florida State University",3.02,"","FL",-84.2984889,30.4418778
"31","University of West Florida",3.05,"","FL",-87.2163161,30.5451023
"32","Stetson University",3.11,"","FL",-81.3034152,29.035599
"33","University of Florida",3.29,"Univ. of Florida(3.29)","FL",-82.3549302,29.6436325
"34","Southern Polytechnic State University",2.72,"","GA",-84.520799,33.9355452
"35","University of West Georgia",2.75,"","GA",-85.0987351,33.5734291
"36","Kennesaw State University",2.99,"","GA",-84.5840505,34.0349823
"37","Georgia Tech",3.04,"Georgia Tech(3.04)","GA",-84.396285,33.7756178
"38","Spelman College",3.1,"","GA",-84.4139576,33.7449636
"39","University of Georgia",3.2,"","GA",-83.3773221,33.9480053
"40","Emory University",3.34,"","GA",-84.3239989,33.7925195
"41","University of Idaho",2.95,"","ID",-117.0126084,46.7288124
"42","Southern Illinois University",3.07,"","IL",-89.2116506,37.7138335
"43","Knox College",3.15,"","IL",-90.3713045,40.9416833
"44","University of Chicago",3.35,"","IL",-88.1348144,41.5295457
"45","Northwestern University",3.37,"","IL",-87.675267,42.0564594
"46","Wheaton College, Illinois",3.37,"","IL",-88.099602,41.8685135
"47","Purdue University",2.81,"","IN",-86.9211946,40.4237054
"48","Ball State University",2.88,"","IN",-85.4088412,40.1972366
"49","Indiana University",3.08,"","IN",-86.5149053,39.1691355
"50","DePauw Univerwity",3.22,"","IN",-86.861622,39.640397
"51","Butler Univerity",3.26,"","IN",-86.1697197,39.8396005
"52","University of Iowa",2.94,"","IO",-91.5548998,41.6626963
"53","Iowa State University",2.99,"","IO",-93.6464654,42.0266187
"54","Centre College",3.09,"","KY",-84.7781853,37.6446298
"55","Louisiana State University",2.88,"","LA",-91.1800023,30.4132579
"56","Southeastern Louisiana University",2.94,"","LA",-90.4687845,30.5181168
"57","Bates College",3.36,"","ME",-70.2021865,44.1057216
"58","University of Maryland Baltimore",2.77,"","MD",-76.7107494,39.2561164
"59","Johns Hopkins University",3.24,"","MD",-76.6233538,39.3249281
"60","Wellesley College",3.32,"","MA",-71.3059278,42.2935733
"61","Smith College",3.38,"","MA",-72.6372341,42.3180957
"62","Amherst College",3.48,"","MA",-72.5170028,42.3709104
"63","Northern Michigan University",2.8,"","MI",-87.4034449,46.5579286
"64","Michigan Tech",2.9,"","MI",-88.5445315,47.1170514
"65","Central Michigan University",2.94,"","MI",-84.7751384,43.5912088
"66","Garden Valley State",2.99,"","MI",-120.8165783,38.8355845
"67","Western Michigan University",3.13,"","MI",-85.6152186,42.2831778
